id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
FOXG_03238	11,45248034	3,239163881	19,66579681	6,071257129	2,601995275	0,047625632	0,289463597
FOXG_16067	1,832013101	3,239163881	0,424862322	0,131164195	-2,930554151	0,270266913	0,807214063
FOXG_10729	5,775682799	3,242845255	8,308520343	2,562108177	1,35733139	0,317647521	0,863287795
FOXG_02856	5,627728346	3,242845255	8,012611438	2,4708584	1,305012335	0,346596347	0,897355175
FOXG_08641	6,969358089	3,247977394	10,69073878	3,291506524	1,718748057	0,213483421	0,719010064
FOXG_12966	6,905644434	3,247977394	10,56331147	3,252273705	1,701448677	0,255177857	0,790364541
FOXG_05609	5,37190718	3,247977394	7,495836966	2,307847641	1,206547983	0,309656178	0,855270571
FOXG_12925	1,936554069	3,255578745	0,617529393	0,189683445	-2,398334323	0,424523773	0,958287238
FOXG_02537	10,78369864	3,260710885	18,30668639	5,614323698	2,489112246	0,053837588	0,313167673
FOXG_00283	11,82945715	3,264392258	20,39452204	6,247570887	2,643295366	0,057364196	0,327204578
FOXG_16719	4,865942229	3,269524398	6,462360061	1,976544376	0,982980346	0,54186152	1
FOXG_17039	38,6784049	3,280807122	74,07600267	22,57859115	4,496883563	0,000298163	0,005556705
FOXG_19471	1,949168258	3,280807122	0,617529393	0,188224839	-2,409471069	0,39472809	0,939696519
FOXG_15183	4,529070733	3,285939262	5,772202204	1,756636914	0,812816026	0,530117673	1
FOXG_17843	2,554682418	3,287390029	1,821974807	0,554231409	-0,851439623	0,667012425	1
FOXG_19955	2,227994318	3,291071402	1,164917235	0,353962917	-1,498329869	0,514603477	1
FOXG_16165	1,802993341	3,297221987	0,308764696	0,093643891	-3,416671309	0,254095635	0,789637416
FOXG_16133	2,440286824	3,297221987	1,583351661	0,480207783	-1,058269308	0,636870567	1
FOXG_18789	3,080794254	3,297221987	2,864366521	0,868721164	-0,20303491	0,959002799	1
FOXG_07137	2,714706128	3,298672753	2,130739503	0,645938431	-0,630531436	0,792655605	1
FOXG_21517	42,29471184	3,307486266	81,28193741	24,57513981	4,619127719	0,000275156	0,005210546
FOXG_00330	2,996020754	3,307486266	2,684555241	0,811660284	-0,301052074	0,848173161	1
FOXG_20148	2,023631934	3,313636851	0,733627018	0,221396324	-2,175296826	0,385385836	0,936766516
FOXG_16891	4,225353547	3,320219757	5,130487336	1,54522523	0,627817138	0,731087775	1
FOXG_05605	3,6211097	3,32903327	3,913186131	1,175472221	0,233240445	0,921755433	1
FOXG_02553	1,667082705	3,334165409	0	0	#NAME?	0,115464814	0,511597387
FOXG_09941	1,667082705	3,334165409	0	0	#NAME?	0,115464814	0,511597387
FOXG_13701	111,9641957	3,335183854	220,5932075	66,14124351	6,047478265	2,64E-06	0,000111385
FOXG_03830	2,09639358	3,336634621	0,856152539	0,256591637	-1,962453946	0,405291679	0,94562312
FOXG_22060	9,681081593	3,340315994	16,02184719	4,796506444	2,261983995	0,09601601	0,455622147
FOXG_07537	5,171818001	3,340315994	7,003320007	2,09660404	1,068054423	0,499380046	1
